Apr. 7, 2019   11:46:00
A.C. Voltammetry
File: D:\process\data\acv2.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 1000
Sample Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 1e-4

Potential/V, Total(i/A), In-phase(i/A), Out-of-phase(i/A)
0.184, 7.230e-5, 4.526e-5, 5.637e-5
0.180, 7.118e-5, 4.368e-5, 5.621e-5
0.176, 7.012e-5, 4.215e-5, 5.604e-5
0.172, 6.896e-5, 4.044e-5, 5.586e-5
0.168, 6.781e-5, 3.872e-5, 5.567e-5
0.164, 6.669e-5, 3.701e-5, 5.548e-5
0.160, 6.568e-5, 3.546e-5, 5.529e-5
0.156, 6.468e-5, 3.389e-5, 5.509e-5
0.152, 6.372e-5, 3.237e-5, 5.488e-5
0.148, 6.282e-5, 3.094e-5, 5.467e-5
0.144, 6.199e-5, 2.960e-5, 5.447e-5
0.140, 6.129e-5, 2.845e-5, 5.429e-5
0.136, 6.060e-5, 2.731e-5, 5.409e-5
0.132, 5.997e-5, 2.626e-5, 5.391e-5
0.128, 5.940e-5, 2.530e-5, 5.374e-5
0.124, 5.889e-5, 2.444e-5, 5.358e-5
0.120, 5.846e-5, 2.371e-5, 5.343e-5
0.116, 5.804e-5, 2.300e-5, 5.329e-5
0.112, 5.767e-5, 2.237e-5, 5.316e-5
0.108, 5.734e-5, 2.179e-5, 5.303e-5
0.104, 5.706e-5, 2.132e-5, 5.293e-5
0.100, 5.679e-5, 2.086e-5, 5.282e-5
0.096, 5.655e-5, 2.044e-5, 5.273e-5
0.092, 5.634e-5, 2.007e-5, 5.264e-5
0.088, 5.614e-5, 1.974e-5, 5.256e-5
0.084, 5.598e-5, 1.947e-5, 5.249e-5
0.080, 5.583e-5, 1.920e-5, 5.242e-5
0.076, 5.569e-5, 1.896e-5, 5.236e-5
0.072, 5.556e-5, 1.875e-5, 5.230e-5
0.068, 5.546e-5, 1.858e-5, 5.225e-5
0.064, 5.536e-5, 1.841e-5, 5.221e-5
0.060, 5.527e-5, 1.826e-5, 5.216e-5
0.056, 5.519e-5, 1.813e-5, 5.213e-5
0.052, 5.512e-5, 1.802e-5, 5.209e-5
0.048, 5.506e-5, 1.792e-5, 5.206e-5
0.044, 5.501e-5, 1.783e-5, 5.204e-5
0.040, 5.496e-5, 1.775e-5, 5.201e-5
0.036, 5.492e-5, 1.769e-5, 5.199e-5
0.032, 5.489e-5, 1.763e-5, 5.198e-5
0.028, 5.486e-5, 1.758e-5, 5.196e-5
0.024, 5.483e-5, 1.754e-5, 5.195e-5
0.020, 5.481e-5, 1.750e-5, 5.195e-5
0.016, 5.480e-5, 1.747e-5, 5.194e-5
0.012, 5.479e-5, 1.745e-5, 5.194e-5
0.008, 5.478e-5, 1.743e-5, 5.194e-5
0.004, 5.478e-5, 1.741e-5, 5.194e-5
-0.000, 5.478e-5, 1.740e-5, 5.194e-5
-0.004, 5.478e-5, 1.739e-5, 5.194e-5
-0.008, 5.478e-5, 1.739e-5, 5.195e-5
-0.012, 5.479e-5, 1.739e-5, 5.196e-5
-0.016, 5.480e-5, 1.740e-5, 5.196e-5
-0.020, 5.481e-5, 1.740e-5, 5.198e-5
-0.024, 5.482e-5, 1.740e-5, 5.199e-5
-0.028, 5.484e-5, 1.741e-5, 5.200e-5
-0.032, 5.485e-5, 1.742e-5, 5.201e-5
-0.036, 5.487e-5, 1.743e-5, 5.203e-5
-0.040, 5.489e-5, 1.744e-5, 5.204e-5
-0.044, 5.490e-5, 1.745e-5, 5.205e-5
-0.048, 5.493e-5, 1.747e-5, 5.207e-5
-0.052, 5.495e-5, 1.749e-5, 5.209e-5
-0.056, 5.497e-5, 1.750e-5, 5.211e-5
-0.060, 5.499e-5, 1.752e-5, 5.213e-5
-0.064, 5.502e-5, 1.754e-5, 5.215e-5
-0.068, 5.504e-5, 1.756e-5, 5.217e-5
-0.072, 5.507e-5, 1.758e-5, 5.219e-5
-0.076, 5.510e-5, 1.760e-5, 5.221e-5
-0.080, 5.512e-5, 1.762e-5, 5.223e-5
-0.084, 5.515e-5, 1.764e-5, 5.226e-5
-0.088, 5.518e-5, 1.766e-5, 5.228e-5
-0.092, 5.521e-5, 1.768e-5, 5.230e-5
-0.096, 5.525e-5, 1.771e-5, 5.233e-5
-0.100, 5.527e-5, 1.773e-5, 5.235e-5
