Apr. 7, 2019   11:46:00
A.C. Voltammetry
File: D:\process\data\acv2.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 1000
Sample Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 1e-4

Potential/V, Total(i/A), In-phase(i/A), Out-of-phase(i/A)

0.496, 5.938e-5, 2.006e-5, 5.589e-5
0.492, 5.934e-5, 1.998e-5, 5.587e-5
0.488, 5.930e-5, 1.992e-5, 5.586e-5
0.484, 5.928e-5, 1.986e-5, 5.585e-5
0.480, 5.926e-5, 1.981e-5, 5.585e-5
0.476, 5.926e-5, 1.976e-5, 5.586e-5
0.472, 5.925e-5, 1.972e-5, 5.587e-5
0.468, 5.926e-5, 1.969e-5, 5.589e-5
0.464, 5.927e-5, 1.966e-5, 5.592e-5
0.460, 5.929e-5, 1.964e-5, 5.595e-5
0.456, 5.932e-5, 1.961e-5, 5.598e-5
0.452, 5.935e-5, 1.960e-5, 5.602e-5
0.448, 5.939e-5, 1.959e-5, 5.607e-5
0.444, 5.944e-5, 1.959e-5, 5.612e-5
0.440, 5.949e-5, 1.958e-5, 5.618e-5
0.436, 5.956e-5, 1.959e-5, 5.624e-5
0.432, 5.962e-5, 1.960e-5, 5.631e-5
0.428, 5.970e-5, 1.961e-5, 5.638e-5
0.424, 5.978e-5, 1.963e-5, 5.646e-5
0.420, 5.987e-5, 1.965e-5, 5.655e-5
0.416, 5.995e-5, 1.968e-5, 5.663e-5
0.412, 6.005e-5, 1.971e-5, 5.672e-5
0.408, 6.016e-5, 1.975e-5, 5.682e-5
0.404, 6.027e-5, 1.979e-5, 5.692e-5
0.400, 6.038e-5, 1.984e-5, 5.702e-5
0.396, 6.048e-5, 1.989e-5, 5.712e-5
0.392, 6.060e-5, 1.994e-5, 5.722e-5
0.388, 6.071e-5, 2.000e-5, 5.732e-5
0.384, 6.083e-5, 2.007e-5, 5.742e-5
0.380, 6.093e-5, 2.014e-5, 5.751e-5
0.376, 6.105e-5, 2.021e-5, 5.761e-5
0.372, 6.116e-5, 2.029e-5, 5.769e-5
0.368, 6.127e-5, 2.038e-5, 5.778e-5
0.364, 6.137e-5, 2.047e-5, 5.785e-5
0.360, 6.146e-5, 2.056e-5, 5.792e-5
0.356, 6.156e-5, 2.067e-5, 5.798e-5
0.352, 6.165e-5, 2.079e-5, 5.804e-5
0.348, 6.175e-5, 2.092e-5, 5.809e-5
0.344, 6.184e-5, 2.107e-5, 5.813e-5
0.340, 6.192e-5, 2.122e-5, 5.817e-5
0.336, 6.202e-5, 2.141e-5, 5.821e-5
0.332, 6.212e-5, 2.162e-5, 5.824e-5
0.328, 6.223e-5, 2.186e-5, 5.827e-5
0.324, 6.234e-5, 2.212e-5, 5.829e-5
0.320, 6.249e-5, 2.244e-5, 5.832e-5
0.316, 6.264e-5, 2.279e-5, 5.835e-5
0.312, 6.283e-5, 2.321e-5, 5.839e-5
0.308, 6.304e-5, 2.369e-5, 5.842e-5
0.304, 6.327e-5, 2.419e-5, 5.846e-5
0.300, 6.355e-5, 2.481e-5, 5.851e-5
0.296, 6.388e-5, 2.551e-5, 5.857e-5
0.292, 6.425e-5, 2.630e-5, 5.862e-5
0.288, 6.464e-5, 2.712e-5, 5.868e-5
0.284, 6.512e-5, 2.810e-5, 5.874e-5
0.280, 6.565e-5, 2.919e-5, 5.880e-5
0.276, 6.624e-5, 3.039e-5, 5.886e-5
0.272, 6.690e-5, 3.169e-5, 5.892e-5
0.268, 6.756e-5, 3.299e-5, 5.896e-5
0.264, 6.832e-5, 3.448e-5, 5.898e-5
0.260, 6.915e-5, 3.606e-5, 5.900e-5
0.256, 7.001e-5, 3.770e-5, 5.899e-5
0.252, 7.083e-5, 3.924e-5, 5.896e-5
0.248, 7.174e-5, 4.094e-5, 5.891e-5
0.244, 7.264e-5, 4.261e-5, 5.883e-5
0.240, 7.353e-5, 4.425e-5, 5.873e-5
0.236, 7.435e-5, 4.577e-5, 5.860e-5
0.232, 7.504e-5, 4.706e-5, 5.846e-5
0.228, 7.570e-5, 4.829e-5, 5.829e-5
0.224, 7.622e-5, 4.932e-5, 5.811e-5
0.220, 7.659e-5, 5.011e-5, 5.792e-5
0.216, 7.680e-5, 5.064e-5, 5.774e-5
0.212, 7.682e-5, 5.086e-5, 5.756e-5
0.208, 7.665e-5, 5.083e-5, 5.738e-5
0.204, 7.630e-5, 5.050e-5, 5.720e-5
0.200, 7.577e-5, 4.989e-5, 5.703e-5
0.196, 7.513e-5, 4.909e-5, 5.687e-5
0.192, 7.430e-5, 4.801e-5, 5.670e-5
0.188, 7.334e-5, 4.672e-5, 5.654e-5
