Apr. 7, 2019   11:48:37
2nd Harmonic A.C. Voltammetry
File: D:\process\data\shacv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 100
Sample Period (sec) = 1
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5


Potential/V, Total(i/A), In-phase(i/A), Out-of-phase(i/A)
0.076, 1.850e-7, -8.264e-8, 1.656e-7
0.072, 1.644e-7, -7.400e-8, 1.468e-7
0.068, 1.488e-7, -6.825e-8, 1.322e-7
0.064, 1.319e-7, -6.096e-8, 1.170e-7
0.060, 1.169e-7, -5.433e-8, 1.035e-7
0.056, 1.038e-7, -4.858e-8, 9.168e-8
0.052, 9.157e-8, -4.381e-8, 8.041e-8
0.048, 8.164e-8, -3.968e-8, 7.135e-8
0.044, 7.108e-8, -3.528e-8, 6.170e-8
0.040, 6.257e-8, -3.089e-8, 5.442e-8
0.036, 5.510e-8, -2.791e-8, 4.751e-8
0.032, 4.735e-8, -2.491e-8, 4.027e-8
0.028, 4.138e-8, -2.104e-8, 3.563e-8
0.024, 3.607e-8, -1.896e-8, 3.069e-8
0.020, 3.055e-8, -1.684e-8, 2.549e-8
0.016, 2.538e-8, -1.364e-8, 2.140e-8
0.012, 2.159e-8, -1.207e-8, 1.790e-8
0.008, 1.830e-8, -9.936e-9, 1.537e-8
0.004, 1.487e-8, -8.986e-9, 1.185e-8
-0.000, 1.192e-8, -7.009e-9, 9.640e-9
-0.004, 9.504e-9, -6.101e-9, 7.287e-9
-0.008, 6.534e-9, -4.303e-9, 4.917e-9
-0.012, 5.277e-9, -3.938e-9, 3.512e-9
-0.016, 3.199e-9, -2.670e-9, 1.761e-9
-0.020, 1.927e-9, -1.339e-9, 1.386e-9
-0.024, 1.112e-9, -1.100e-9, -1.601e-10
-0.028, 2.007e-9, -4.830e-10, -1.948e-9
-0.032, 2.459e-9, 3.728e-10, -2.431e-9
-0.036, 3.542e-9, 8.584e-10, -3.436e-9
-0.040, 4.905e-9, 2.000e-9, -4.479e-9
-0.044, 5.247e-9, 2.237e-9, -4.746e-9
-0.048, 5.798e-9, 2.586e-9, -5.190e-9
-0.052, 6.415e-9, 2.743e-9, -5.799e-9
-0.056, 7.198e-9, 3.195e-9, -6.450e-9
-0.060, 7.061e-9, 3.208e-9, -6.290e-9
-0.064, 7.876e-9, 3.526e-9, -7.043e-9
-0.068, 8.962e-9, 4.626e-9, -7.676e-9
-0.072, 9.030e-9, 4.510e-9, -7.823e-9
-0.076, 9.355e-9, 5.082e-9, -7.855e-9
-0.080, 9.935e-9, 4.993e-9, -8.590e-9
-0.084, 1.068e-8, 5.431e-9, -9.196e-9
-0.088, 1.118e-8, 6.264e-9, -9.256e-9
-0.092, 1.086e-8, 5.909e-9, -9.117e-9
-0.096, 1.145e-8, 5.799e-9, -9.868e-9
-0.100, 1.150e-8, 6.539e-9, -9.464e-9
