Apr. 7, 2019   11:54:03
Amperometric i-t Curve
File: D:\process\data\it1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6


Time/sec, Current/A

2.030e+1, 6.543e-7
2.040e+1, 6.532e-7
2.050e+1, 6.521e-7
2.060e+1, 6.509e-7
2.070e+1, 6.498e-7
2.080e+1, 6.487e-7
2.090e+1, 6.476e-7
2.100e+1, 6.465e-7
2.110e+1, 6.454e-7
2.120e+1, 6.443e-7
2.130e+1, 6.433e-7
2.140e+1, 6.422e-7
2.150e+1, 6.411e-7
2.160e+1, 6.401e-7
2.170e+1, 6.390e-7
2.180e+1, 6.380e-7
2.190e+1, 6.369e-7
2.200e+1, 6.358e-7
2.210e+1, 6.348e-7
2.220e+1, 6.338e-7
2.230e+1, 6.328e-7
2.240e+1, 6.318e-7
2.250e+1, 6.308e-7
2.260e+1, 6.298e-7
2.270e+1, 6.289e-7
2.280e+1, 6.279e-7
2.290e+1, 6.269e-7
2.300e+1, 6.260e-7
2.310e+1, 6.251e-7
2.320e+1, 6.241e-7
2.330e+1, 6.232e-7
2.340e+1, 6.222e-7
2.350e+1, 6.212e-7
2.360e+1, 6.204e-7
2.370e+1, 6.195e-7
2.380e+1, 6.186e-7
2.390e+1, 6.177e-7
2.400e+1, 6.168e-7
2.410e+1, 6.159e-7
2.420e+1, 6.151e-7
2.430e+1, 6.142e-7
2.440e+1, 6.133e-7
2.450e+1, 6.125e-7
2.460e+1, 6.116e-7
2.470e+1, 6.108e-7
2.480e+1, 6.099e-7
2.490e+1, 6.090e-7
2.500e+1, 6.082e-7
2.510e+1, 6.074e-7
2.520e+1, 6.066e-7
2.530e+1, 6.058e-7
2.540e+1, 6.049e-7
2.550e+1, 6.042e-7
2.560e+1, 6.034e-7
2.570e+1, 6.026e-7
2.580e+1, 6.017e-7
2.590e+1, 6.009e-7
2.600e+1, 6.001e-7
2.610e+1, 5.994e-7
2.620e+1, 5.986e-7
2.630e+1, 5.978e-7
2.640e+1, 5.970e-7
2.650e+1, 5.963e-7
2.660e+1, 5.955e-7
2.670e+1, 5.948e-7
2.680e+1, 5.941e-7
2.690e+1, 5.934e-7
2.700e+1, 5.926e-7
2.710e+1, 5.919e-7
2.720e+1, 5.912e-7
2.730e+1, 5.904e-7
2.740e+1, 5.897e-7
2.750e+1, 5.890e-7
2.760e+1, 5.882e-7
2.770e+1, 5.875e-7
2.780e+1, 5.868e-7
2.790e+1, 5.861e-7
2.800e+1, 5.854e-7
2.810e+1, 5.848e-7
2.820e+1, 5.841e-7
2.830e+1, 5.834e-7
2.840e+1, 5.827e-7
2.850e+1, 5.820e-7
2.860e+1, 5.813e-7
2.870e+1, 5.807e-7
2.880e+1, 5.800e-7
2.890e+1, 5.794e-7
2.900e+1, 5.787e-7
2.910e+1, 5.780e-7
2.920e+1, 5.774e-7
2.930e+1, 5.767e-7
2.940e+1, 5.761e-7
2.950e+1, 5.754e-7
2.960e+1, 5.748e-7
2.970e+1, 5.742e-7
2.980e+1, 5.736e-7
2.990e+1, 5.729e-7
3.000e+1, 5.724e-7
