Apr. 7, 2019   12:03:33
Open Circuit Potential - Time
File: D:\process\data\ocpt1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Run Time (sec) = 40

Time/sec, Potential/V

2.060e+1, 2.857e-1
2.070e+1, 2.855e-1
2.080e+1, 2.854e-1
2.090e+1, 2.853e-1
2.100e+1, 2.852e-1
2.110e+1, 2.851e-1
2.120e+1, 2.850e-1
2.130e+1, 2.849e-1
2.140e+1, 2.848e-1
2.150e+1, 2.847e-1
2.160e+1, 2.847e-1
2.170e+1, 2.846e-1
2.180e+1, 2.845e-1
2.190e+1, 2.844e-1
2.200e+1, 2.843e-1
2.210e+1, 2.842e-1
2.220e+1, 2.841e-1
2.230e+1, 2.840e-1
2.240e+1, 2.839e-1
2.250e+1, 2.838e-1
2.260e+1, 2.837e-1
2.270e+1, 2.836e-1
2.280e+1, 2.835e-1
2.290e+1, 2.834e-1
2.300e+1, 2.834e-1
2.310e+1, 2.833e-1
2.320e+1, 2.832e-1
2.330e+1, 2.831e-1
2.340e+1, 2.830e-1
2.350e+1, 2.829e-1
2.360e+1, 2.828e-1
2.370e+1, 2.827e-1
2.380e+1, 2.827e-1
2.390e+1, 2.826e-1
2.400e+1, 2.825e-1
2.410e+1, 2.824e-1
2.420e+1, 2.824e-1
2.430e+1, 2.823e-1
2.440e+1, 2.822e-1
2.450e+1, 2.821e-1
2.460e+1, 2.821e-1
2.470e+1, 2.820e-1
2.480e+1, 2.819e-1
2.490e+1, 2.819e-1
2.500e+1, 2.818e-1
2.510e+1, 2.817e-1
2.520e+1, 2.816e-1
2.530e+1, 2.816e-1
2.540e+1, 2.815e-1
2.550e+1, 2.814e-1
2.560e+1, 2.814e-1
2.570e+1, 2.813e-1
2.580e+1, 2.812e-1
2.590e+1, 2.811e-1
2.600e+1, 2.811e-1
2.610e+1, 2.810e-1
2.620e+1, 2.810e-1
2.630e+1, 2.809e-1
2.640e+1, 2.808e-1
2.650e+1, 2.808e-1
2.660e+1, 2.807e-1
2.670e+1, 2.807e-1
2.680e+1, 2.806e-1
2.690e+1, 2.805e-1
2.700e+1, 2.805e-1
2.710e+1, 2.804e-1
2.720e+1, 2.803e-1
2.730e+1, 2.803e-1
2.740e+1, 2.802e-1
2.750e+1, 2.802e-1
2.760e+1, 2.801e-1
2.770e+1, 2.801e-1
2.780e+1, 2.800e-1
2.790e+1, 2.799e-1
2.800e+1, 2.799e-1
2.810e+1, 2.798e-1
2.820e+1, 2.798e-1
2.830e+1, 2.797e-1
2.840e+1, 2.797e-1
2.850e+1, 2.796e-1
2.860e+1, 2.796e-1
2.870e+1, 2.795e-1
2.880e+1, 2.795e-1
2.890e+1, 2.794e-1
2.900e+1, 2.794e-1
2.910e+1, 2.794e-1
2.920e+1, 2.793e-1
2.930e+1, 2.793e-1
2.940e+1, 2.792e-1
2.950e+1, 2.792e-1
2.960e+1, 2.791e-1
2.970e+1, 2.791e-1
2.980e+1, 2.790e-1
2.990e+1, 2.790e-1
3.000e+1, 2.790e-1
3.010e+1, 2.789e-1
3.020e+1, 2.789e-1
3.030e+1, 2.788e-1
3.040e+1, 2.788e-1
3.050e+1, 2.787e-1
3.060e+1, 2.787e-1
3.070e+1, 2.787e-1
3.080e+1, 2.786e-1
3.090e+1, 2.786e-1
3.100e+1, 2.785e-1
3.110e+1, 2.785e-1
3.120e+1, 2.784e-1
3.130e+1, 2.784e-1
3.140e+1, 2.784e-1
3.150e+1, 2.783e-1
3.160e+1, 2.783e-1
3.170e+1, 2.782e-1
3.180e+1, 2.782e-1
3.190e+1, 2.782e-1
3.200e+1, 2.781e-1
3.210e+1, 2.781e-1
3.220e+1, 2.780e-1
3.230e+1, 2.780e-1
3.240e+1, 2.780e-1
3.250e+1, 2.779e-1
3.260e+1, 2.779e-1
3.270e+1, 2.778e-1
3.280e+1, 2.778e-1
3.290e+1, 2.778e-1
3.300e+1, 2.777e-1
3.310e+1, 2.777e-1
3.320e+1, 2.777e-1
3.330e+1, 2.776e-1
3.340e+1, 2.776e-1
3.350e+1, 2.775e-1
3.360e+1, 2.775e-1
3.370e+1, 2.775e-1
3.380e+1, 2.774e-1
3.390e+1, 2.774e-1
3.400e+1, 2.774e-1
3.410e+1, 2.773e-1
3.420e+1, 2.773e-1
3.430e+1, 2.773e-1
3.440e+1, 2.772e-1
3.450e+1, 2.772e-1
3.460e+1, 2.772e-1
3.470e+1, 2.771e-1
3.480e+1, 2.771e-1
3.490e+1, 2.771e-1
3.500e+1, 2.770e-1
3.510e+1, 2.770e-1
3.520e+1, 2.770e-1
3.530e+1, 2.769e-1
3.540e+1, 2.769e-1
3.550e+1, 2.769e-1
3.560e+1, 2.768e-1
3.570e+1, 2.768e-1
3.580e+1, 2.768e-1
3.590e+1, 2.768e-1
3.600e+1, 2.767e-1
3.610e+1, 2.767e-1
3.620e+1, 2.767e-1
3.630e+1, 2.766e-1
3.640e+1, 2.766e-1
3.650e+1, 2.766e-1
3.660e+1, 2.766e-1
3.670e+1, 2.765e-1
3.680e+1, 2.765e-1
3.690e+1, 2.765e-1
3.700e+1, 2.765e-1
3.710e+1, 2.764e-1
3.720e+1, 2.764e-1
3.730e+1, 2.764e-1
3.740e+1, 2.763e-1
3.750e+1, 2.763e-1
3.760e+1, 2.763e-1
3.770e+1, 2.763e-1
3.780e+1, 2.762e-1
3.790e+1, 2.762e-1
3.800e+1, 2.762e-1
3.810e+1, 2.762e-1
3.820e+1, 2.761e-1
3.830e+1, 2.761e-1
3.840e+1, 2.761e-1
3.850e+1, 2.761e-1
3.860e+1, 2.760e-1
3.870e+1, 2.760e-1
3.880e+1, 2.760e-1
3.890e+1, 2.759e-1
3.900e+1, 2.759e-1
3.910e+1, 2.759e-1
3.920e+1, 2.759e-1
3.930e+1, 2.758e-1
3.940e+1, 2.758e-1
3.950e+1, 2.758e-1
3.960e+1, 2.758e-1
3.970e+1, 2.758e-1
3.980e+1, 2.757e-1
3.990e+1, 2.757e-1
4.000e+1, 2.757e-1
