Apr. 7, 2019   11:44:27
A.C. Voltammetry
File: D:\process\data\acv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 50
Sample Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Potential/V, Total(i/A), In-phase(i/A), Out-of-phase(i/A)
0.072, 4.020e-6, 1.645e-6, 3.668e-6
0.068, 3.980e-6, 1.607e-6, 3.641e-6
0.064, 3.928e-6, 1.551e-6, 3.609e-6
0.060, 3.887e-6, 1.518e-6, 3.578e-6
0.056, 3.862e-6, 1.481e-6, 3.567e-6
0.052, 3.836e-6, 1.447e-6, 3.553e-6
0.048, 3.796e-6, 1.422e-6, 3.520e-6
0.044, 3.784e-6, 1.408e-6, 3.512e-6
0.040, 3.764e-6, 1.387e-6, 3.499e-6
0.036, 3.748e-6, 1.369e-6, 3.489e-6
0.032, 3.722e-6, 1.349e-6, 3.469e-6
0.028, 3.716e-6, 1.343e-6, 3.465e-6
0.024, 3.706e-6, 1.327e-6, 3.461e-6
0.020, 3.694e-6, 1.316e-6, 3.451e-6
0.016, 3.690e-6, 1.306e-6, 3.451e-6
0.012, 3.681e-6, 1.299e-6, 3.444e-6
0.008, 3.677e-6, 1.294e-6, 3.442e-6
0.004, 3.675e-6, 1.291e-6, 3.441e-6
-0.000, 3.672e-6, 1.285e-6, 3.440e-6
-0.004, 3.670e-6, 1.284e-6, 3.438e-6
-0.008, 3.668e-6, 1.283e-6, 3.436e-6
-0.012, 3.672e-6, 1.280e-6, 3.442e-6
-0.016, 3.668e-6, 1.273e-6, 3.440e-6
-0.020, 3.666e-6, 1.282e-6, 3.435e-6
-0.024, 3.664e-6, 1.274e-6, 3.436e-6
-0.028, 3.666e-6, 1.280e-6, 3.436e-6
-0.032, 3.667e-6, 1.273e-6, 3.439e-6
-0.036, 3.672e-6, 1.277e-6, 3.443e-6
-0.040, 3.674e-6, 1.285e-6, 3.442e-6
-0.044, 3.679e-6, 1.282e-6, 3.448e-6
-0.048, 3.685e-6, 1.282e-6, 3.454e-6
-0.052, 3.676e-6, 1.283e-6, 3.445e-6
-0.056, 3.688e-6, 1.288e-6, 3.455e-6
-0.060, 3.693e-6, 1.286e-6, 3.461e-6
-0.064, 3.690e-6, 1.291e-6, 3.457e-6
-0.068, 3.698e-6, 1.292e-6, 3.465e-6
-0.072, 3.700e-6, 1.290e-6, 3.468e-6
-0.076, 3.703e-6, 1.295e-6, 3.469e-6
-0.080, 3.705e-6, 1.298e-6, 3.470e-6
-0.084, 3.708e-6, 1.305e-6, 3.471e-6
-0.088, 3.710e-6, 1.305e-6, 3.473e-6
-0.092, 3.719e-6, 1.310e-6, 3.480e-6
-0.096, 3.717e-6, 1.310e-6, 3.479e-6
-0.100, 3.721e-6, 1.315e-6, 3.481e-6
