Apr. 7, 2019   11:36:06
Linear Sweep Voltammetry
File: D:\process\data\lsv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Potential/V, Current/A

0.249, 2.042e-6
0.248, 2.087e-6
0.247, 2.137e-6
0.246, 2.183e-6
0.245, 2.234e-6
0.244, 2.287e-6
0.243, 2.331e-6
0.242, 2.386e-6
0.241, 2.438e-6
0.240, 2.486e-6
0.239, 2.544e-6
0.238, 2.596e-6
0.237, 2.649e-6
0.236, 2.707e-6
0.235, 2.756e-6
0.234, 2.812e-6
0.233, 2.868e-6
0.232, 2.922e-6
0.231, 2.978e-6
0.230, 3.026e-6
0.229, 3.083e-6
0.228, 3.143e-6
0.227, 3.189e-6
0.226, 3.248e-6
0.225, 3.304e-6
0.224, 3.354e-6
0.223, 3.411e-6
0.222, 3.460e-6
0.221, 3.511e-6
0.220, 3.566e-6
0.219, 3.612e-6
0.218, 3.663e-6
0.217, 3.712e-6
0.216, 3.757e-6
0.215, 3.808e-6
0.214, 3.850e-6
0.213, 3.896e-6
0.212, 3.946e-6
0.211, 3.982e-6
0.210, 4.026e-6
0.209, 4.067e-6
0.208, 4.102e-6
0.207, 4.145e-6
0.206, 4.179e-6
0.205, 4.214e-6
0.204, 4.250e-6
0.203, 4.276e-6
0.202, 4.308e-6
0.201, 4.338e-6
0.200, 4.363e-6
0.199, 4.391e-6
0.198, 4.413e-6
0.197, 4.436e-6
0.196, 4.462e-6
0.195, 4.473e-6
0.194, 4.496e-6
0.193, 4.515e-6
0.192, 4.525e-6
0.191, 4.542e-6
0.190, 4.553e-6
0.189, 4.562e-6
0.188, 4.576e-6
0.187, 4.581e-6
0.186, 4.590e-6
0.185, 4.597e-6
0.184, 4.599e-6
0.183, 4.605e-6
0.182, 4.604e-6
0.181, 4.606e-6
0.180, 4.610e-6
0.179, 4.600e-6
0.178, 4.602e-6
0.177, 4.599e-6
0.176, 4.592e-6
0.175, 4.590e-6
0.174, 4.582e-6
0.173, 4.576e-6
0.172, 4.572e-6
0.171, 4.559e-6
0.170, 4.551e-6
0.169, 4.543e-6
0.168, 4.531e-6
0.167, 4.522e-6
0.166, 4.508e-6
0.165, 4.496e-6
0.164, 4.487e-6
0.163, 4.469e-6
0.162, 4.458e-6
0.161, 4.446e-6
0.160, 4.430e-6
0.159, 4.417e-6
0.158, 4.402e-6
0.157, 4.385e-6
0.156, 4.373e-6
0.155, 4.355e-6
0.154, 4.340e-6
0.153, 4.325e-6
0.152, 4.307e-6
0.151, 4.292e-6
0.150, 4.274e-6
0.149, 4.258e-6
0.148, 4.245e-6
0.147, 4.225e-6
0.146, 4.209e-6
0.145, 4.194e-6
0.144, 4.175e-6
0.143, 4.161e-6
0.142, 4.143e-6
0.141, 4.125e-6
0.140, 4.111e-6
0.139, 4.093e-6
0.138, 4.076e-6
0.137, 4.061e-6
0.136, 4.044e-6
0.135, 4.029e-6
0.134, 4.013e-6
0.133, 3.996e-6
0.132, 3.982e-6
0.131, 3.963e-6
0.130, 3.949e-6
0.129, 3.934e-6
0.128, 3.915e-6
0.127, 3.902e-6
0.126, 3.886e-6
0.125, 3.870e-6
0.124, 3.857e-6
0.123, 3.840e-6
0.122, 3.825e-6
0.121, 3.812e-6
0.120, 3.796e-6
0.119, 3.782e-6
0.118, 3.767e-6
0.117, 3.753e-6
0.116, 3.741e-6
0.115, 3.723e-6
0.114, 3.711e-6
0.113, 3.698e-6
0.112, 3.682e-6
0.111, 3.670e-6
0.110, 3.656e-6
0.109, 3.643e-6
0.108, 3.631e-6
0.107, 3.616e-6
0.106, 3.603e-6
0.105, 3.592e-6
0.104, 3.578e-6
0.103, 3.567e-6
0.102, 3.554e-6
0.101, 3.541e-6
0.100, 3.530e-6
0.099, 3.516e-6
0.098, 3.504e-6
0.097, 3.494e-6
0.096, 3.481e-6
0.095, 3.470e-6
0.094, 3.458e-6
0.093, 3.446e-6
0.092, 3.437e-6
0.091, 3.424e-6
0.090, 3.413e-6
0.089, 3.404e-6
0.088, 3.391e-6
0.087, 3.381e-6
0.086, 3.371e-6
0.085, 3.360e-6
0.084, 3.351e-6
0.083, 3.339e-6
0.082, 3.330e-6
0.081, 3.321e-6
0.080, 3.309e-6
0.079, 3.301e-6
0.078, 3.291e-6
0.077, 3.280e-6
0.076, 3.273e-6
0.075, 3.262e-6
0.074, 3.253e-6
0.073, 3.245e-6
0.072, 3.235e-6
0.071, 3.227e-6
0.070, 3.218e-6
0.069, 3.209e-6
0.068, 3.202e-6
